 PATH                                                                                                                                                                     | SIZE      | CREATED    | MODIFIED   | PLEN | FLEN 
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell-0.0.36.dist-info/INSTALLER                                                                                | 4         | 1749664750 | 1749664750 | 89   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev-0.24.3.dist-info/WHEEL                                                                                    | 92        | 1749664750 | 1749664750 | 85   | 5    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev-0.24.3.dist-info/METADATA                                                                                 | 4637      | 1749664750 | 1749664750 | 88   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev-0.24.3.dist-info/RECORD                                                                                   | 3516      | 1749664750 | 1749664750 | 86   | 6    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev-0.24.3.dist-info/top_level.txt                                                                            | 7         | 1749664750 | 1749664750 | 93   | 13   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev-0.24.3.dist-info/COPYING                                                                                  | 26432     | 1749664750 | 1749664750 | 87   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyudev-0.24.3.dist-info/INSTALLER                                                                                | 4         | 1749664750 | 1749664750 | 89   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/DESCRIPTION.rst                                                                           | 320       | 1749664750 | 1749664750 | 94   | 15   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/entry_points.txt                                                                          | 112       | 1749664750 | 1749664750 | 95   | 16   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/metadata.json                                                                             | 1647      | 1749664750 | 1749664750 | 92   | 13   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/WHEEL                                                                                     | 110       | 1749664750 | 1749664750 | 84   | 5    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/METADATA                                                                                  | 1650      | 1749664750 | 1749664750 | 87   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/RECORD                                                                                    | 4776      | 1749664750 | 1749664750 | 85   | 6    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/top_level.txt                                                                             | 7         | 1749664750 | 1749664750 | 92   | 13   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pyserial-3.5.dist-info/INSTALLER                                                                                 | 4         | 1749664750 | 1749664750 | 88   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__main__.py                                                                                               | 45        | 1749664750 | 1749664750 | 74   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/__init__.py                                                                                               | 3212      | 1749664750 | 1749664750 | 74   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/threaded/__init__.py                                                                                      | 9319      | 1749664750 | 1749664750 | 83   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/threaded/__pycache__/__init__.cpython-313.pyc                                                             | 14117     | 1749664750 | 1749664750 | 108  | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/rs485.py                                                                                                  | 3305      | 1749664750 | 1749664750 | 71   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/serialwin32.py                                                                                            | 20284     | 1749664750 | 1749664750 | 77   | 14   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/serialcli.py                                                                                              | 9190      | 1749664750 | 1749664750 | 75   | 12   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/serialposix.py                                                                                            | 35127     | 1749664750 | 1749664750 | 77   | 14   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/serialutil.py                                                                                             | 21797     | 1749664750 | 1749664750 | 76   | 13   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/rfc2217.py                                                                                                | 59700     | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/urlhandler/protocol_rfc2217.py                                                                            | 317       | 1749664750 | 1749664750 | 93   | 19   
